Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:py_rel	CBF:px_rel	CBF:omega_safe
8.636	16:33:16.363	37.196108211	-3.620362528	0.,0.	0.,0.	0.,0.	0.
8.886	16:33:16.613	37.196108282	-3.620362528	0.,0.	0.,0.	0.,0.	0.
9.136	16:33:16.863	37.196108281	-3.620362660	0.,0.	0.,0.	0.,0.	0.
9.386	16:33:17.113	37.196108281	-3.620362660	0.,0.	0.,0.	0.,0.	0.
9.636	16:33:17.363	37.196108209	-3.620362660	0.,0.	0.,0.	0.,0.	0.
9.886	16:33:17.613	37.196108209	-3.620362660	0.,0.	0.,0.	0.,0.	0.
10.136	16:33:17.863	37.196108386	-3.620362526	0.,0.	0.,0.	0.,0.	0.
10.386	16:33:18.113	37.196108386	-3.620362392	0.,0.	0.,0.	0.,0.	0.
10.636	16:33:18.363	37.196108456	-3.620362392	0.,0.	0.,0.	0.,0.	0.
10.886	16:33:18.613	37.196108562	-3.620362391	0.,0.	0.,0.	0.,0.	0.
11.136	16:33:18.863	37.196108562	-3.620362302	0.,0.	0.,0.	0.,0.	0.
11.386	16:33:19.113	37.196108561	-3.620362302	0.,0.	0.,0.	0.,0.	0.
11.636	16:33:19.363	37.196108561	-3.620362168	0.,0.	0.,0.	0.,0.	0.
11.886	16:33:19.613	37.196108738	-3.620362168	0.,0.	0.,0.	0.,0.	0.
12.136	16:33:19.863	37.196108667	-3.620362167	0.,0.	0.,0.	0.,0.	0.
12.386	16:33:20.113	37.196108666	-3.620362167	0.,0.	0.,0.	0.,0.	0.
12.636	16:33:20.363	37.196108666	-3.620362167	0.,0.	0.,0.	0.,0.	0.
12.886	16:33:20.613	37.196108452	-3.620362077	0.,0.	0.,0.	0.,0.	0.
13.136	16:33:20.863	37.196108558	-3.620361944	0.,0.	0.,0.	0.,0.	0.
13.386	16:33:21.113	37.196108452	-3.620361943	0.,0.	0.,0.	0.,0.	0.
13.636	16:33:21.363	37.196108452	-3.620361943	0.,0.	0.,0.	0.,0.	0.
13.886	16:33:21.613	37.196108557	-3.620361942	0.,0.	0.,0.	0.,0.	0.
14.136	16:33:21.863	37.196108379	-3.620361942	0.,0.	0.,0.	0.,0.	0.
14.386	16:33:22.113	37.196108379	-3.620361942	0.,0.	0.,0.	0.,0.	0.
14.636	16:33:22.363	37.196108201	-3.620361941	0.,0.	0.,0.	0.,0.	0.
14.886	16:33:22.613	37.196108201	-3.620361941	0.,0.	0.,0.	0.,0.	0.
15.136	16:33:22.863	37.196107916	-3.620361851	0.,0.	0.,0.	0.,0.	0.
15.386	16:33:23.113	37.196107916	-3.620361851	0.,0.	0.,0.	0.,0.	0.
15.636	16:33:23.363	37.196107915	-3.620361717	0.,0.	0.,0.	0.,0.	0.
15.886	16:33:23.613	37.196107915	-3.620361717	0.,0.	0.,0.	0.,0.	0.
16.136	16:33:23.863	37.196107844	-3.620361716	0.,0.	0.,0.	0.,0.	0.
16.386	16:33:24.113	37.196107843	-3.620361627	0.,0.	0.,0.	0.,0.	0.
16.636	16:33:24.363	37.196107843	-3.620361627	0.,0.	0.,0.	0.,0.	0.
16.886	16:33:24.613	37.196107843	-3.620361627	0.,0.	0.,0.	0.,0.	0.
17.136	16:33:24.863	37.196107842	-3.620361626	0.,0.	0.,0.	0.,0.	0.
17.386	16:33:25.113	37.196107842	-3.620361626	0.,0.	0.,0.	0.,0.	0.
17.636	16:33:25.363	37.196107557	-3.620361625	0.,0.	0.,0.	0.,0.	0.
17.886	16:33:25.613	37.196107557	-3.620361624	0.,0.	0.,0.	0.,0.	0.
18.136	16:33:25.863	37.196107556	-3.620361624	0.,0.	0.,0.	0.,0.	0.
18.386	16:33:26.113	37.196107272	-3.620361623	0.,0.	0.,0.	0.,0.	0.
18.636	16:33:26.363	37.196107201	-3.620361623	0.,0.	0.,0.	0.,0.	0.
18.886	16:33:26.613	37.196107200	-3.620361622	0.,0.	0.,0.	0.,0.	0.
19.136	16:33:26.863	37.196107271	-3.620361622	0.,0.	0.,0.	0.,0.	0.
19.386	16:33:27.113	37.196107199	-3.620361488	0.,0.	0.,0.	0.,0.	0.
19.636	16:33:27.363	37.196107199	-3.620361488	0.,0.	0.,0.	0.,0.	0.
19.886	16:33:27.613	37.196107092	-3.620361354	0.,0.	0.,0.	0.,0.	0.
20.136	16:33:27.863	37.196107092	-3.620361354	0.,0.	0.,0.	0.,0.	0.
20.386	16:33:28.113	37.196107092	-3.620361265	0.,0.	0.,0.	0.,0.	0.
20.636	16:33:28.363	37.196107092	-3.620361265	0.,0.	0.,0.	0.,0.	0.
20.886	16:33:28.613	37.196106806	-3.620361486	0.,0.	0.,0.	0.,0.	0.
21.136	16:33:28.863	37.196106735	-3.620361485	0.,0.	0.,0.	0.,0.	0.
21.386	16:33:29.113	37.196106628	-3.620361485	0.,0.	0.,0.	0.,0.	0.
21.636	16:33:29.363	37.196106557	-3.620361484	0.,0.	0.,0.	0.,0.	0.
21.886	16:33:29.613	37.196106450	-3.620361617	0.,0.	0.,0.	0.,0.	0.
22.136	16:33:29.863	37.196106450	-3.620361617	0.,0.	0.,0.	0.,0.	0.
22.386	16:33:30.113	37.196106450	-3.620361617	0.,0.	0.,0.	0.,0.	0.
22.636	16:33:30.363	37.196106448	-3.620361704	0.,0.	0.,0.	0.,0.	0.
22.886	16:33:30.613	37.196106271	-3.620361704	0.,0.	0.,0.	0.,0.	0.
23.136	16:33:30.863	37.196106270	-3.620361703	0.,0.	0.,0.	0.,0.	0.
23.386	16:33:31.113	37.196106270	-3.620361614	0.,0.	0.,0.	0.,0.	0.
23.636	16:33:31.363	37.196106270	-3.620361614	0.,0.	0.,0.	0.,0.	0.
23.886	16:33:31.613	37.196106269	-3.620361480	0.,0.	0.,0.	0.,0.	0.
24.136	16:33:31.863	37.196106162	-3.620361480	0.,0.	0.,0.	0.,0.	0.
24.386	16:33:32.113	37.196106091	-3.620361346	0.,0.	0.,0.	0.,0.	0.
24.636	16:33:32.363	37.196106091	-3.620361346	0.,0.	0.,0.	0.,0.	0.
24.886	16:33:32.613	37.196105806	-3.620361345	0.,0.	0.,0.	0.,0.	0.
25.136	16:33:32.863	37.196105628	-3.620361256	0.,0.	0.,0.	0.,0.	0.
25.386	16:33:33.113	37.196105628	-3.620361256	0.,0.	0.,0.	0.,0.	0.
25.636	16:33:33.363	37.196105733	-3.620361344	0.,0.	0.,0.	0.,0.	0.
25.886	16:33:33.613	37.196105626	-3.620361343	0.,0.	0.,0.	0.,0.	0.
26.136	16:33:33.863	37.196105449	-3.620361476	0.,0.	0.,0.	0.,0.	0.
26.386	16:33:34.113	37.196105449	-3.620361476	0.,0.	0.,0.	0.,0.	0.
26.636	16:33:34.363	37.196105449	-3.620361476	0.,0.	0.,0.	0.,0.	0.
26.886	16:33:34.613	37.196105447	-3.620361120	0.,0.	0.,0.	0.,0.	0.
27.136	16:33:34.863	37.196105553	-3.620361030	0.,0.	0.,0.	0.,0.	0.
27.386	16:33:35.113	37.196105553	-3.620361030	0.,0.	0.,0.	0.,0.	0.
27.636	16:33:35.363	37.196105339	-3.620361029	0.,0.	0.,0.	0.,0.	0.
27.886	16:33:35.613	37.196105268	-3.620360896	0.,0.	0.,0.	0.,0.	0.
28.136	16:33:35.863	37.196105090	-3.620360895	0.,0.	0.,0.	0.,0.	0.
28.386	16:33:36.113	37.196105090	-3.620360895	0.,0.	0.,0.	0.,0.	0.
28.636	16:33:36.363	37.196104912	-3.620361116	0.,0.	0.,0.	0.,0.	0.
28.886	16:33:36.613	37.196104912	-3.620361116	0.,0.	0.,0.	0.,0.	0.
29.136	16:33:36.863	37.196104520	-3.620361249	0.,0.	0.,0.	0.,0.	0.
29.386	16:33:37.113	37.196104520	-3.620361249	0.,0.	0.,0.	0.,0.	0.
29.636	16:33:37.363	37.196104520	-3.620361249	0.,0.	0.,0.	0.,0.	0.
29.886	16:33:37.613	37.196104271	-3.620361336	0.,0.	0.,0.	0.,0.	0.
30.136	16:33:37.863	37.196104164	-3.620361468	0.,0.	0.,0.	0.,0.	0.
30.386	16:33:38.113	37.196104164	-3.620361468	0.,0.	0.,0.	0.,0.	0.
30.636	16:33:38.363	37.196103701	-3.620361601	0.,0.	0.,0.	0.,0.	0.
30.886	16:33:38.613	37.196103523	-3.620361689	0.,0.	0.,0.	0.,0.	0.
31.136	16:33:38.863	37.196103346	-3.620361688	0.,0.	0.,0.	0.,0.	0.
31.386	16:33:39.113	37.196103346	-3.620361688	0.,0.	0.,0.	0.,0.	0.
31.636	16:33:39.363	37.196103167	-3.620361821	0.,0.	0.,0.	0.,0.	0.
31.886	16:33:39.613	37.196102989	-3.620361909	0.,0.	0.,0.	0.,0.	0.
32.136	16:33:39.863	37.196102989	-3.620361909	0.,0.	0.,0.	0.,0.	0.
