Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:omega_safe
5.442	14:17:15.696	37.196120607	-3.620412245	0.,0.	0.
5.692	14:17:15.946	37.196120960	-3.620412025	0.,0.	0.
5.942	14:17:16.196	37.196120960	-3.620412025	0.,0.	0.
6.192	14:17:16.446	37.196121523	-3.620412024	0.,0.	0.
6.442	14:17:16.696	37.196121523	-3.620412024	0.,0.	0.
6.692	14:17:16.946	37.196121876	-3.620412024	0.,0.	0.
6.942	14:17:17.196	37.196121876	-3.620412024	0.,0.	0.
7.192	14:17:17.446	37.196122228	-3.620412024	0.,0.	0.
7.442	14:17:17.696	37.196122228	-3.620412024	0.,0.	0.
7.692	14:17:17.946	37.196122686	-3.620412244	0.,0.	0.
7.942	14:17:18.196	37.196122862	-3.620412244	0.,0.	0.
8.192	14:17:18.446	37.196123144	-3.620412244	0.,0.	0.
8.442	14:17:18.696	37.196123426	-3.620412112	0.,0.	0.
8.692	14:17:18.946	37.196123602	-3.620412112	0.,0.	0.
8.942	14:17:19.196	37.196123848	-3.620412024	0.,0.	0.
9.192	14:17:19.446	37.196124130	-3.620412023	0.,0.	0.
9.442	14:17:19.696	37.196124482	-3.620412023	0.,0.	0.
9.692	14:17:19.946	37.196124658	-3.620411891	0.,0.	0.
9.942	14:17:20.196	37.196124940	-3.620411759	0.,0.	0.
10.192	14:17:20.446	37.196125398	-3.620411759	0.,0.	0.
10.442	14:17:20.696	37.196125398	-3.620411759	0.,0.	0.
10.692	14:17:20.946	37.196126103	-3.620411538	0.,0.	0.
10.942	14:17:21.196	37.196126491	-3.620411450	0.,0.	0.
11.192	14:17:21.446	37.196126843	-3.620411450	0.,0.	0.
11.442	14:17:21.696	37.196127090	-3.620411318	0.,0.	0.
11.692	14:17:21.946	37.196127548	-3.620411230	0.,0.	0.
11.942	14:17:22.196	37.196127829	-3.620411097	0.,0.	0.
12.192	14:17:22.446	37.196128288	-3.620410745	0.,0.	0.
12.442	14:17:22.696	37.196128287	-3.620410877	0.,0.	0.
12.692	14:17:22.946	37.196128640	-3.620410656	0.,0.	0.
12.942	14:17:23.196	37.196128922	-3.620410524	0.,0.	0.
13.192	14:17:23.446	37.196129344	-3.620410524	0.,0.	0.
13.442	14:17:23.696	37.196129626	-3.620410436	0.,0.	0.
13.692	14:17:23.946	37.196129908	-3.620410304	0.,0.	0.
13.942	14:17:24.196	37.196130190	-3.620410215	0.,0.	0.
14.192	14:17:24.446	37.196130366	-3.620409951	0.,0.	0.
14.442	14:17:24.696	37.196130542	-3.620409863	0.,0.	0.
14.692	14:17:24.946	37.196130789	-3.620409863	0.,0.	0.
14.942	14:17:25.196	37.196131000	-3.620409862	0.,0.	0.
15.192	14:17:25.446	37.196131247	-3.620409862	0.,0.	0.
15.442	14:17:25.696	37.196131352	-3.620409862	0.,0.	0.
15.692	14:17:25.946	37.196131529	-3.620409730	0.,0.	0.
15.942	14:17:26.196	37.196131705	-3.620409730	0.,0.	0.
16.192	14:17:26.446	37.196131881	-3.620409642	0.,0.	0.
16.442	14:17:26.696	37.196132057	-3.620409509	0.,0.	0.
16.692	14:17:26.946	37.196132339	-3.620409509	0.,0.	0.
16.942	14:17:27.196	37.196132515	-3.620409421	0.,0.	0.
17.192	14:17:27.446	37.196132867	-3.620409289	0.,0.	0.
17.442	14:17:27.696	37.196132867	-3.620409289	0.,0.	0.
17.692	14:17:27.946	37.196132973	-3.620409289	0.,0.	0.
17.942	14:17:28.196	37.196133043	-3.620409289	0.,0.	0.
18.192	14:17:28.446	37.196133254	-3.620409288	0.,0.	0.
18.442	14:17:28.696	37.196133501	-3.620409421	0.,0.	0.
18.692	14:17:28.946	37.196133783	-3.620409420	0.,0.	0.
18.942	14:17:29.196	37.196133959	-3.620409420	0.,0.	0.
19.192	14:17:29.446	37.196134135	-3.620409420	0.,0.	0.
19.442	14:17:29.696	37.196134311	-3.620409288	0.,0.	0.
19.692	14:17:29.946	37.196134593	-3.620409068	0.,0.	0.
19.942	14:17:30.196	37.196134699	-3.620409068	0.,0.	0.
20.192	14:17:30.446	37.196134875	-3.620408935	0.,0.	0.
20.442	14:17:30.696	37.196135051	-3.620409067	0.,0.	0.
20.692	14:17:30.946	37.196135298	-3.620409199	0.,0.	0.
20.942	14:17:31.196	37.196135685	-3.620409287	0.,0.	0.
21.192	14:17:31.446	37.196135932	-3.620409508	0.,0.	0.
21.442	14:17:31.696	37.196136214	-3.620409640	0.,0.	0.
21.692	14:17:31.946	37.196136496	-3.620409640	0.,0.	0.
21.942	14:17:32.196	37.196136742	-3.620409640	0.,0.	0.
22.192	14:17:32.446	37.196136954	-3.620409507	0.,0.	0.
22.442	14:17:32.696	37.196137200	-3.620409507	0.,0.	0.
22.692	14:17:32.946	37.196137482	-3.620409639	0.,0.	0.
22.942	14:17:33.196	37.196137553	-3.620409639	0.,0.	0.
23.192	14:17:33.446	37.196137764	-3.620409639	0.,0.	0.
23.442	14:17:33.696	37.196137834	-3.620409639	0.,0.	0.
23.692	14:17:33.946	37.196138011	-3.620409639	0.,0.	0.
23.942	14:17:34.196	37.196138187	-3.620409727	0.,0.	0.
24.192	14:17:34.446	37.196138469	-3.620409639	0.,0.	0.
24.442	14:17:34.696	37.196138750	-3.620409639	0.,0.	0.
24.692	14:17:34.946	37.196138750	-3.620409859	0.,0.	0.
24.942	14:17:35.196	37.196138821	-3.620409859	0.,0.	0.
25.192	14:17:35.446	37.196138997	-3.620409726	0.,0.	0.
25.442	14:17:35.696	37.196139208	-3.620409726	0.,0.	0.
25.692	14:17:35.946	37.196139279	-3.620409726	0.,0.	0.
25.942	14:17:36.196	37.196139455	-3.620409638	0.,0.	0.
26.192	14:17:36.446	37.196139631	-3.620409638	0.,0.	0.
26.442	14:17:36.696	37.196139737	-3.620409726	0.,0.	0.
26.692	14:17:36.946	37.196139807	-3.620409858	0.,0.	0.
26.942	14:17:37.196	37.196140089	-3.620409726	0.,0.	0.
27.192	14:17:37.446	37.196140089	-3.620409726	0.,0.	0.
27.442	14:17:37.696	37.196140371	-3.620409637	0.,0.	0.
27.692	14:17:37.946	37.196140441	-3.620409637	0.,0.	0.
27.942	14:17:38.196	37.196140441	-3.620409637	0.,0.	0.
